title,category,release
'89 Dennou Kyuusei Uranai,Miscellaneous,"Dec 10, 1988"
10-Yard Fight,Football Sim,October 1985
1942,Shoot-'Em-Up,November 1986
1943: The Battle of Midway,Shoot-'Em-Up,October 1988
"1999 Hore, Mitakotoka! Seikimatsu",Board,"Sep 18, 1992"
2 in 1 Cosmocop / Cyber Monster,Light Gun Shooter,1993
2 in 1 Geminim/Siamond,Logic Puzzle,"Jun 25, 2008"
2 in 1 Tough Cop / Super Tough Cop,Light Gun Shooter,1993
3 in 1 Supergun,Light Gun Shooter,1993
3-D WorldRunner,Action,September 1987
3D Block,Puzzle,1990
4 Nin uchi Mahjong,Board,"Nov  2, 1984"
6 in 1,Compilation,1992
720 Degrees,Skateboarding,November 1989
8 Eyes,2D Platformer,January 1990
A-Ressha de Ikou,Strategy,"Aug 21, 1991"
Aa Yakyuu Jinsei Icchokusen,Board,"Dec 25, 1992"
Abadox: The Deadly Inner War,Shoot-'Em-Up,March 1990
Action 52,Compilation,1991
Adam & Eve,Action,1992
The Addams Family,2D Platformer,January 1992
The Addams Family: Pugsley's Scavenger Hunt,2D Platformer,August 1993
Advanced Dungeons & Dragons: Dragons of Flame,Action Role-Playing,"Feb 21, 1992"
Advanced Dungeons & Dragons: DragonStrike,Action,July 1992
Advanced Dungeons & Dragons: Heroes of the Lance,Action Role-Playing,January 1991
Advanced Dungeons & Dragons: Hillsfar,Role-Playing,February 1993
Advanced Dungeons & Dragons: Pool of Radiance,Role-Playing,April 1992
Adventure Island,2D Platformer,September 1988
Adventure Island 3,2D Platformer,September 1992
Adventure Island II,2D Platformer,February 1991
Adventures in the Magic Kingdom,Action,June 1990
The Adventures of Bayou Billy,Beat-'Em-Up,June 1989
Adventures of Dino Riki,Shoot-'Em-Up,September 1989
The Adventures of Dr. Franken,2D Platformer,Canceled
The Adventures of Gilligan's Island,Action,July 1990
Adventures of Lolo,Action Puzzle,April 1989
Adventures of Lolo 2,Action Puzzle,March 1990
Adventures of Lolo 3,Action Puzzle,September 1991
The Adventures of Rad Gravity,2D Platformer,December 1990
The Adventures of Rocky and Bullwinkle and Friends,2D Platformer,December 1992
Adventures of Tom Sawyer,Action,August 1989
After Burner,Shoot-'Em-Up,1989
Ai Sensei no Oshiete: Watashi no Hoshi,Miscellaneous,"Mar 26, 1993"
Aigiina no Yogen: Balubalouk no Densetsu Yori,2D Platformer,"Nov 21, 1986"
Air Fortress,Action,September 1989
Airball,Action,Canceled
Airwolf,Action,June 1989
Airwolf (Japan),Shoot-'Em-Up,"Dec 24, 1988"
Akagawa Jirou no Yuurei Ressha,Adventure,"Feb  8, 1991"
Akira,Adventure,"Dec 24, 1988"
Akuma-kun: Makai no Wana,Role-Playing,"Feb 24, 1990"
Akumajou Special: Boku Dracula-kun,2D Platformer,"Oct 19, 1990"
Al Unser Jr.'s Turbo Racing,Formula One Racing,March 1990
Alfred Chicken,2D Platformer,February 1994
Alien 3,Action,March 1993
Alien Syndrome,Action,1988
All-Pro Basketball,Basketball,December 1989
Alpha Mission,Shoot-'Em-Up,October 1987
Amagon,Action,April 1989
America Daitouryou Senkyo: United State Presidental Race,Strategy,"Oct 28, 1988"
America Oudan Ultra Quiz: Shijou Saidai no Tatakai,Trivia / Game Show,"Nov 29, 1991"
American Dream,Casino,"Sep 23, 1989"
American Gladiators,Sports,October 1991
Ankoku Shinwa: Yamato Takeru Densetsu,Adventure,"Mar 24, 1989"
Antarctic Adventure,On-foot Racing,"Apr 22, 1985"
Anticipation,Trivia / Game Show,November 1988
Aoki Ookami to Shiroki Meshika: Genchou Hishi,Strategy,"Mar 25, 1993"
Arch Rivals: A Basket Brawl!,Basketball,November 1990
Archon,Board,December 1989
Arctic,Puzzle,"Feb 23, 1990"
Argus,Shoot-'Em-Up,"Apr 17, 1986"
Arkanoid,Action,August 1987
Arkanoid II,Action,"Mar  8, 1988"
Arkista's Ring,Action,June 1990
Armadillo,Action,"Aug  9, 1991"
Artelius,Action Role-Playing,"Nov 13, 1987"
Asmik-Kun Land,2D Platformer,"Dec 20, 1991"
Asterix,2D Platformer,1993
Astro Fang: Super Machine,Car Combat,"Oct 26, 1990"
Astro Robo Sasa,Shoot-'Em-Up,"Aug  9, 1985"
Astyanax,2D Platformer,March 1990
Athena,2D Platformer,August 1987
Athletic World,Olympic Sports,July 1987
Atlantis no Nazo,2D Platformer,"Apr 17, 1986"
Attack Animal Gakuen,Shoot-'Em-Up,"Dec 26, 1987"
Attack of the Killer Tomatoes,Action,January 1992
Aussie Rules Footy,Sports,1991
Auto-Upturn,Puzzle,1991
AV Hanafuda Club,Miscellaneous,1991
B-Wings,Shoot-'Em-Up,"Jun  3, 1986"
Babel no Tou,Puzzle,"Jul 18, 1986"
Baby Boomer,Light Gun Shooter,1989
Back to the Future,Action,September 1989
Back to the Future II & III,2D Platformer,September 1990
Bad Dudes,Beat-'Em-Up,July 1990
Bad News Baseball,Baseball Sim,June 1990
Bad Street Brawler,Beat-'Em-Up,September 1989
Baken Hisshou Gaku: Gate In,Horse Racing,"May 25, 1990"
Bakushou: Ai no Gekijou,Board,"Dec 29, 1990"
Bakushou!! Jinsei Gekijou,Board,"Mar 17, 1989"
Bakushou!! Jinsei Gekijou 2,Board,"Mar 22, 1991"
Bakushou!! Jinsei Gekijou 3,Board,"Dec 20, 1991"
Ballblazer,Action,"Mar  4, 1988"
Balloon Fight,Action,June 1986
Balloon Monster,Action,1991
Baltron,Shoot-'Em-Up,"Mar 19, 1986"
Banana,Puzzle,"Sep  8, 1986"
Banana Prince,2D Platformer,1992
Bandit Kings of Ancient China,Historic Turn-Based Strategy,December 1990
Barbie,2D Platformer,December 1991
Barcode World,Sci-Fi Turn-Based Strategy,"Dec 18, 1992"
The Bard's Tale II: The Destiny Knight,Role-Playing,"Jan 25, 1992"
The Bard's Tale,Role-Playing,November 1991
Barker Bill's Trick Shooting,Light Gun Shooter,August 1990
Cyber Stadium Series: Base Wars,Baseball,June 1991
Baseball,Baseball,October 1985
Baseball Fighter,Baseball,"Jul  5, 1991"
Baseball Simulator 1.000,Baseball Sim,March 1990
Baseball Stars,Baseball,July 1989
Baseball Stars II,Baseball,July 1992
Bases Loaded,Baseball Sim,July 1988
Bases Loaded 3,Baseball Sim,September 1991
Bases Loaded 4,Baseball Sim,April 1993
Bases Loaded II: Second Season,Baseball Sim,January 1990
Batman,2D Platformer,February 1990
Batman Returns,Beat-'Em-Up,January 1993
Batman: Return of the Joker,2D Platformer,December 1991
Bats & Terry,Action,"Jul 22, 1987"
Battle Baseball,Baseball Sim,"Feb 19, 1993"
Battle Chess,Board,July 1990
Battle City,Action,"Sep  9, 1985"
Battle Fleet,Strategy,"Jun 22, 1990"
Battle Kid: Fortress of Peril,2D Platformer,"Feb 22, 2010"
The Battle of Olympus,Historic Action Adventure,December 1989
Battle Rush: Build Up Robot Tournament,Action,"Nov 13, 1993"
Battle Stadium: Senbatsu Pro Yakyuu,Baseball Sim,"Dec 19, 1990"
Battle Storm,Strategy,"Dec 21, 1991"
Battle Tank,Tank Sim,September 1990
Battleship,Wargame,September 1993
Battletoads,Beat-'Em-Up,June 1991
Battletoads & Double Dragon,Beat-'Em-Up,June 1993
Be-Bop High School: Koukousei Gokuraku Densetsu,Adventure,"Mar 30, 1988"
Disney's Beauty and the Beast,2D Platformer,1994
Bee 52,Action,1992
Beetlejuice,2D Platformer,May 1991
Best Keiba Derby Stallion,Horse Racing,"Dec 21, 1991"
Best of the Best: Championship Karate,2D Fighting,December 1992
Best Play Pro Yakyuu,Baseball Sim,"Jul 15, 1988"
Best Play Pro Yakyuu '90,Baseball Sim,"Dec 13, 1990"
Best Play Pro Yakyuu II,Baseball Sim,"Mar 30, 1990"
Best Play Pro Yakyuu Special,Baseball Sim,"Oct 16, 1992"
Bible Adventures,2D Platformer,1990
Bible Buffet,Board,1993
Big Nose Freaks Out,2D Platformer,1992
Big Nose the Caveman,2D Platformer,1991
Bigfoot,Truck Racing,July 1990
Bikkuriman World: Gekitou Sei Senshi,Role-Playing,"Jul 27, 1990"
Bill & Ted's Excellent Video Game Adventure,Action,August 1991
Bill Elliott's NASCAR Challenge,Stock Car Racing,April 1991
Binary Land,Action,"Dec 19, 1985"
Bingo,Casino,1991
Bingo 75,Casino,1990
Bio Senshi Dan: Increaser tono Tatakai,Sci-Fi Action Adventure,"Sep 22, 1987"
Bio-Miracle Bokutte Upa,2D Platformer,"Feb 26, 1993"
Bionic Commando,2D Platformer,December 1988
Bird Week,Action,"Jun  3, 1986"
The Black Bass (Japan),Fishing,"Feb  6, 1987"
The Black Bass,Fishing,September 1989
Blackjack,Casino,1992
Blades of Steel,Ice Hockey,December 1988
Blaster Master,2D Platformer,November 1988
Blodia Land: Puzzle Quest,Puzzle,"Aug 11, 1990"
Bloody Warriors: Shango no Gyakushuu,Role-Playing,"Oct 19, 1990"
The Blue Marlin,Fishing,July 1992
The Blues Brothers,2D Platformer,September 1992
Bo Jackson Baseball,Baseball Sim,October 1991
Bokosuka Wars,Action,"Dec 14, 1985"
Bomberman,Puzzle,January 1989
Bomberman II,Action,February 1993
Bonk's Adventure,2D Platformer,January 1994
Booby Kids,Action,"Jul 10, 1987"
Bookyman,Action Puzzle,1992
Boulder Dash,Action Puzzle,June 1990
A Boy and His Blob: Trouble on Blobolonia,Action,January 1990
Bram Stoker's Dracula,2D Platformer,September 1993
Break Time: The National Pool Tour,Billiards,January 1993
BreakThru,Shoot-'Em-Up,November 1987
Brush Roller,Puzzle,1990
Bubble Bobble,2D Platformer,November 1988
Bubble Bobble Part 2,2D Platformer,August 1993
Bucky O'Hare,2D Platformer,January 1992
The Bugs Bunny Birthday Blowout,2D Platformer,September 1990
The Bugs Bunny Crazy Castle,2D Platformer,August 1989
Bump 'n' Jump,Racing,December 1988
Burai Fighter,Shoot-'Em-Up,March 1990
BurgerTime,Action,May 1987
Business Wars,Adventure,"Jan 24, 1992"
Buzz & Waldog,2D Platformer,May 1993
Cabal,Action,June 1990
Cadillac,Board,"Feb  2, 1990"
Caesars Palace,Casino,December 1992
California Games,Sports,June 1989
Capcom's Gold Medal Challenge '92,Olympic Sports,August 1992
Captain America and the Avengers,2D Platformer,December 1991
Captain Comic: The Adventure,2D Platformer,1989
Captain Ed,Shoot-'Em-Up,"Aug 25, 1989"
Captain Planet and the Planeteers,2D Platformer,September 1991
Captain Silver,Action,"Dec 16, 1988"
Captain Skyhawk,Shoot-'Em-Up,June 1990
Captain Tsubasa II: Super Striker,Soccer Sim,"Jul 20, 1990"
Casino Derby & Super Bingo,Alt. Sports,"Mar 19, 1993"
Casino Kid,Casino,October 1989
Casino Kid II,Casino,April 1993
Castelian,Action,June 1991
Castle of Deceit,2D Platformer,1990
Castle of Dragon,Action,June 1990
Castle Quest,Fantasy Turn-Based Strategy,"May 18, 1990"
Castlequest,Action Role-Playing,September 1989
Castlevania,2D Platformer,May 1987
Castlevania II: Simon's Quest,2D Platformer,December 1988
Castlevania III: Dracula's Curse,2D Platformer,September 1990
Caveman Games,Action,October 1990
Chack'n Pop,Action,"May 24, 1985"
Challenge of the Dragon,Beat-'Em-Up,1990
Challenge of the Dragon (Asia),Beat-'Em-Up,1990
Bandai Golf: Challenge Pebble Beach,Golf Sim,February 1989
Challenger,Action,"Oct 15, 1985"
Championship Bowling,Bowling,December 1989
Championship Lode Runner,Action Puzzle,"Apr 17, 1985"
Championship Pool,Billiards,October 1993
Championship Rally,Rally / Offroad Racing,1991
Chaos World,Role-Playing,"Oct 25, 1991"
Cheetahmen II,Action,1993
Chess Academy,Board,1991
The Chessmaster,Board,January 1990
Chester Field: Ankoku Shin e no Chousen,Action,"Jul 30, 1987"
Chibi Maruko-Chan: Uki Uki Shopping,Board,"Oct  4, 1991"
Chiisana Obake: Acchi Socchi Kocchi,Puzzle,"Dec  4, 1992"
Chiller,Light Gun Shooter,1990
Chinese Checkers,Board,1991
Chinese Chess,Board,1991
Chip 'n Dale: Rescue Rangers,2D Platformer,June 1990
Chip 'n Dale: Rescue Rangers 2,2D Platformer,January 1994
Chiyonofuji no Ooichou,Sports,"Dec  7, 1990"
Choplifter,Shoot-'Em-Up,"Jun 26, 1986"
Choujikuu Yousai Macross,Shoot-'Em-Up,"Dec 10, 1985"
Choujin Sentai Jetman,2D Platformer,"Dec 21, 1991"
Chubby Cherub,Action,October 1986
Chuka Taisen,Shoot-'Em-Up,"Sep 22, 1989"
Chuugoku Janshi Story: Tonpuu,Board,"Dec 23, 1989"
Chuugoku Senseijutsu,Miscellaneous,"Nov 29, 1988"
Circus Caper,2D Platformer,July 1990
Circus Charlie,Action,"Mar  4, 1986"
City Connection,Action,May 1988
Clash at Demonhead,2D Platformer,January 1990
Classic Concentration,Trivia / Game Show,September 1990
Cliffhanger,2D Platformer,November 1993
Clu Clu Land,Action,October 1985
Cobra Command,Shoot-'Em-Up,November 1988
Cobra Triangle,Action,July 1989
Cocoron,2D Platformer,"May  3, 1991"
Code Name: Viper,Action,March 1990
Color a Dinosaur,Edutainment,July 1993
Columbus: Ougon no Yoake,Role-Playing,"Nov 20, 1992"
Commando,Action,November 1986
Conan,Action,February 1991
Conflict,Strategy,March 1990
Conquest of the Crystal Palace,Action,November 1990
Contra,Shoot-'Em-Up,February 1988
Contra Force,Shoot-'Em-Up,September 1992
Cool World,Action,June 1993
Cosmic Epsilon,Shoot-'Em-Up,"Nov 24, 1989"
Cosmic Wars,Strategy,"Aug  4, 1989"
Cosmo Police Galivan,Action,"Jun  3, 1988"
Cosmos Cop,Rail Shooting,1991
Cowboy Kid,Action,January 1992
Crackout,Action,1991
Crash 'n the Boys: Ice Challenge,Ice Hockey,"Feb  7, 1992"
Crash 'n the Boys: Street Challenge,Alt. Sports,October 1992
Crayon Shin-Chan: Orato to Poi Poi,Puzzle,"Aug 27, 1993"
Crazy Climber,Action,"Dec 26, 1986"
Creatom,Puzzle,1991
Crime Busters,Light Gun Shooter,1989
Crisis Force,Shoot-'Em-Up,"Aug 27, 1991"
CrossFire,2D Platformer,"Nov  2, 1990"
Crystal Mines,Puzzle,1989
Crystalis,Action Role-Playing,July 1990
Cue Stick,Billiards,Cancelled
Cyberball,Futuristic Sports,1992
Cybernoid: The Fighting Machine,Shoot-'Em-Up,December 1989
Cycle Race: Road Man,Biking,"Dec 17, 1988"
Dai Meiro: Meikyu no Tatsujin,Role-Playing,"Nov 30, 1990"
Dai-2-Ji Super Robot Taisen,Strategy,"Dec 19, 1991"
Daikaijyu Deburasu,Strategy,"Dec 21, 1990"
Daiku no Gen-San 2: Akage no Dan no Gyakushuu,2D Platformer,"Oct 22, 1993"
Daisenryaku,Strategy,"Oct 11, 1988"
Daiva Story 6: Imperial of Nirsartia,Action,"Dec  5, 1986"
Dance Aerobics,Rhythm / Dancing,March 1989
Dancing Blocks,Action,1990
Danny Sullivan's Indy Heat,Racing,August 1992
Dark Lord,Role-Playing,"Feb  8, 1991"
Darkman,Action,October 1991
Darkwing Duck,2D Platformer,June 1992
Dash Galaxy in the Alien Asylum,Action,February 1990
Day Dreamin' Davey,Action,June 1992
Days of Thunder,Stock Car Racing,October 1990
De-Block,Puzzle,"Aug  9, 1991"
Deadly Towers,Action Role-Playing,September 1987
Death Race,Car Combat,1991
Deathbots,Action,1990
Deep Dungeon III: Yuushi heno Tabi,Role-Playing,"May 13, 1988"
Deep Dungeon IV: Kuro no Youjutsushi,Role-Playing,"Apr  6, 1990"
Defender II,Shoot-'Em-Up,July 1988
Defender of the Crown,Fantasy Turn-Based Strategy,July 1989
Defenders of Dynatron City,Action,July 1992
Deja Vu,Adventure,December 1990
Demon Sword,Action,January 1990
Derby Stallion Zengokuban,Horse Racing,"Aug 29, 1992"
Desert Commander,Historic Turn-Based Strategy,June 1989
Destination Earthstar,Flight Action,February 1990
Destiny of an Emperor,Role-Playing,September 1990
Devil Man,Action,"Apr 25, 1989"
Devil World,Action,"Jul 15, 1987"
Dezaemon,Shoot-'Em-Up,"Sep 13, 1991"
Dick Tracy,Action,August 1990
Die Hard,Action,January 1992
Dig Dug,Puzzle,"Jun  4, 1985"
Dig Dug II: Trouble In Paradise,Action,December 1989
Digger T. Rock: The Legend of the Lost City,2D Platformer,December 1990
