title,licensee,release
1942,Capcom,November 1986
1943,Capcom,October 1988
10 Yard Fight,Nintendo,October 1985
2-in-1 Super Mario Bros/Duck Hunt,Nintendo,November 1988
2-in-1 Super Spike V'Ball/World Cup Soccer,Nintendo,December 1990
3-D Worldrunner,Acclaim,September 1987
3-in-1 Super Mario Bros/Duck Hunt/World Class Track Meet,Nintendo,December 1990
720°,Mindscape,November 1989
8 Eyes,Taxan,January 1990
A Nightmare on Elm Street,LJN,October 1990
Abadox,Milton Bradley,March 1990
"Addams Family, The",Ocean,January 1992
"Addams Family: Pugsley's Scavenger Hunt, The",Ocean,August 1993
Advanced Dungeons & Dragons: Dragonstrike,FCI,July 1992
Advanced Dungeons & Dragons: Heroes of the Lance,FCI,January 1991
Advanced Dungeons & Dragons: Hillsfar,FCI,February 1993
Advanced Dungeons & Dragons: Pool of Radiance,FCI,April 1992
Adventure Island,Hudson Soft,September 1988
Adventure Island II,Hudson Soft,February 1991
Adventure Island III,Hudson Soft,September 1992
Adventures in the Magic Kingdom,Capcom,June 1990
"Adventures of Bayou Billy, The",Konami,June 1989
"Adventures of Dino Riki, The",Hudson Soft,September 1989
"Adventures of Gilligan's Island, The",Bandai,July 1990
"Adventures of Lolo II , The",Hal America,March 1990
"Adventures of Lolo III , The",Hal America,September 1991
"Adventures of Lolo, The",Hal America,April 1989
"Adventures of Rad Gravity, The",Activision,December 1990
"Adventures of Rocky & Bullwinkle and Friends, The",THQ,December 1992
"Adventures of Tom Sawyer, The",Seta,August 1989
Air Fortress,Hal America,September 1989
Airwolf,Acclaim,June 1989
Al Unser Jr.'s Turbo Racing,Data East,March 1990
Alfred Chicken,Mindscape,February 1994
Alien3,LJN,March 1993
All Pro Basketball,Vic Tokai,December 1989
Alpha Mission,SNK,October 1987
Amagon,American Sammy,April 1989
American Gladiators,Gametek,October 1991
Anticipation,Nintendo,November 1988
Arch Rivals: A Basket Brawl!,Acclaim,November 1990
Archon,Activision,December 1989
Arkanoid,Taito Software,August 1987
Arkista's Ring,American Sammy,June 1990
Astyanax,Jaleco,March 1990
Athena,SNK,August 1987
Athletic World,Bandai,July 1987
Attack of the Killer Tomatoes,THQ,January 1992
BreakThru,Data East,November 1987
Bubble Bobble,Taito Software,November 1988
Bubble Bobble: Part 2,Taito Software,August 1993
Bucky O'Hare,Konami,January 1992
"Bugs Bunny Birthday Blowout, The",Seika,September 1990
"Bugs Bunny Crazy Castle, The",Seika,August 1989
Bump 'n' Jump,Vic Tokai,December 1988
Burai Fighter,Taxan,March 1990
Burgertime,Data East,May 1987
Cabal,Milton Bradley,June 1990
Caesar's Palace,Virgin Interactive,December 1992
California Games,Milton Bradley,June 1989
Captain America and the Avengers,Data East,December 1991
Captain Planet,Mindscape,September 1991
Captain Skyhawk,Milton Bradley,June 1990
Casino Kid,Sofel,October 1989
Casino Kid 2,Sofel,April 1993
Castelian,Triffix,June 1991
Castle of Dragon,Seta,June 1990
Castlequest,Ascii,September 1989
Castlevania,Konami,May 1987
Castlevania II: Simon's Quest,Konami,December 1988
Castlevania III: Dracula's Curse,Konami,September 1990
Caveman Games,Data East,October 1990
Championship Bowling,Romstar,December 1989
Championship Pool,Mindscape,October 1993
"Chessmaster, The",Hi-Tech,January 1990
Chip 'N Dale: Rescue Rangers,Capcom,June 1990
Chip 'N Dale: Rescue Rangers 2,Capcom,January 1994
Chubby Cherub,Bandai,October 1986
Circus Caper,Toho,July 1990
City Connection,Jaleco,May 1988
Clash at Demonhead,Vic Tokai,January 1990
Classic Concentration,Gametek,September 1990
Cliffhanger,Sony Imagesoft,November 1993
Clu Clu Land,Nintendo,October 1985
Cobra Command,Data East,November 1988
Cobra Triangle,Nintendo,July 1989
Code Name: Viper,Capcom,March 1990
Color a Dinosaur,Virgin Interactive,July 1993
Commando,Capcom,November 1986
Conan: The Mysteries of Time,Mindscape,February 1991
Conflict,Vic Tokai,March 1990
Conquest of the Crystal Palace,Asmik,November 1990
Contra,Konami,February 1988
Contra Force,Konami,September 1992
Cool World,Ocean,June 1993
Cowboy Kid,Romstar,January 1992
Crash 'n the Boys: Street Challenge,American Technos,October 1992
Crystalis,SNK,July 1990
Cybernoid: The Fighting Machine,Acclaim,December 1989
Dance Aerobics,Nintendo,March 1989
Danny Sullivan's Indy Heat,Tradewest,August 1992
Darkman,Ocean,October 1991
Darkwing Duck,Capcom,June 1992
Dash Galaxy in the Alien Asylum,Data East,February 1990
Day Dreamin' Davey,Hal America,June 1992
Days of Thunder,Mindscape,October 1990
Deadly Towers,Broderbund,September 1987
Defender II,Hal America,July 1988
Defender of the Crown,Ultra Soft,July 1989
Defenders of Dynatron City,JVC,July 1992
Deja Vu,Seika,December 1990
Demon Sword,Taito Software,January 1990
Desert Commander,Seika,June 1989
Destination Earth Star,Acclaim,February 1990
Destiny of an Emperor,Capcom,September 1990
Dick Tracy,Bandai,August 1990
Die Hard,Activision,January 1992
Dig Dug II,Bandai,December 1989
Digger T. Rock: Legend of the Lost City,Milton Bradley,December 1990
Dirty Harry: The War Against Drugs,Mindscape,December 1990
Donkey Kong,Nintendo,June 1986
Donkey Kong 3,Nintendo,June 1986
Donkey Kong Classics,Nintendo,October 1988
Donkey Kong Jr.,Nintendo,June 1986
Donkey Kong Jr. Math,Nintendo,October 1985
Double Dare,Gametek,April 1990
Double Dragon,Tradewest,June 1988
Double Dragon II: The Revenge,Acclaim,January 1990
Double Dragon III: The Sacred Stone,Acclaim,February 1991
Double Dribble,Konami,September 1987
Dr. Chaos,FCI,November 1988
Dr. Jekyll & Mr. Hyde,Bandai,April 1989
Dr. Mario,Nintendo,October 1990
Dragon Fighter,Sofel,January 1992
Dragon Power,Bandai,March 1988
Dragon Spirit: The New Legend,Bandai,June 1990
Dragon Warrior,Nintendo,August 1989
Dragon Warrior II,Enix,September 1990
Dragon Warrior III,Enix,March 1992
Dragon Warrior IV,Enix,October 1992
Dragon's Lair,Sony Imagesoft,December 1990
Duck Hunt,Nintendo,October 1985
Duck Tales,Capcom,September 1989
Duck Tales II,Capcom,June 1993
Dungeon Magic,Taito Software,July 1990
Dusty Diamond's All-Star Softball,Broderbund,July 1990
Dynowarz: The Destruction of Spondylus,Bandai,April 1990
Elevator Action,Taito Software,August 1987
Eliminator Boat Duel,Electro Brain,November 1991
"Empire Strikes Back , The",JVC,March 1992
Evert & Lendl Top Player's Tennis,Asmik,January 1990
Excitebike,Nintendo,October 1985
F-117A Stealth Fighter,Microprose,December 1992
F-15 Strike Eagle,Microprose,February 1992
Family Feud,Gametek,May 1991
Faria: A World of Mystery & Danger,Ascii,June 1991
Faxanadu,Nintendo,August 1989
Felix the Cat,Hudson Soft,October 1992
Ferrari Grand Prix Challenge,Acclaim,June 1992
Fester's Quest,Sunsoft,September 1989
Final Fantasy,Nintendo,May 1990
Fire 'N Ice,Tecmo,March 1993
Fisher Price: Firehouse Rescue,Gametek,March 1992
Fisher Price: I Can Remember,Gametek,March 1990
Fisher Price: Perfect Fit,Gametek,March 1990
Fist of the North Star,Taxan,April 1989
Flight of the Intruder,Mindscape,May 1991
"Flintstones, The",Taito Software,December 1991
"Flintstones: The Surprise at Dinosaur Peak, The",Taito Software,August 1994
Flying Dragon: The Secret Scroll,Culture Brain,August 1989
Flying Warriors,Culture Brain,February 1991
Formula 1: Built to Win,Seta,November 1990
Frankenstein: The Monster Returns,Bandai,July 1991
Freedom Force,Sunsoft,April 1988
Friday the 13th,LJN,February 1989
Fun House,Hi-Tech,January 1991
G.I. Joe,Taxan,January 1991
G.I. Joe: The Atlantis Factor,Capcom,March 1992
Galaga,Bandai,September 1988
Galaxy 5000,Activision,February 1991
Gargoyle's Quest II,Capcom,October 1992
Gauntlet II,Mindscape,September 1990
Gemfire,Koei,March 1992
Genghis Khan,Koei,January 1990
George Foreman's KO Boxing,Acclaim,December 1992
Ghostbusters,Activision,October 1988
Ghostbusters II,Activision,April 1990
Ghosts 'N Goblins,Capcom,November 1986
Ghoul School,Electro Brain,March 1992
Goal!,Jaleco,October 1989
Goal! Two,Jaleco,November 1992
Godzilla,Toho,October 1989
Godzilla 2: War of the Monsters,Toho,February 1992
Gold Medal Challenge '92,Capcom,August 1992
Golf,Nintendo,October 1985
Golf Grand Slam,Atlus Software,December 1991
Golgo 13: Top Secret Episode,Vic Tokai,September 1988
"Goonies II , The",Konami,November 1987
Gotcha!,LJN,November 1987
Gradius,Konami,December 1986
"Great Waldo Search, The",THQ,December 1992
Greg Norman's Golf Power,Virgin Interactive,July 1992
Gremlins 2: The New Batch,Sunsoft,October 1990
"Guardian Legend, The",Broderbund,April 1989
Guerilla War,SNK,June 1989
Gumshoe,Nintendo,June 1986
Gun Nac,Ascii,September 1991
Gunsmoke,Capcom,February 1988
Gyromite,Nintendo,October 1985
Gyruss,Ultra Soft,February 1989
Harlem Globetrotters,Gametek,March 1991
Hatris,Bullet Proof Software,April 1992
Heavy Barrel,Data East,March 1990
Heavy Shreddin',Parker Brothers,June 1990
High Speed,Tradewest,July 1991
Hogan's Alley,Nintendo,October 1985
Hollywood Squares,Gametek,September 1989
Home Alone,THQ,October 1991
Home Alone 2: Lost in New York,THQ,October 1992
Hook,Sony Imagesoft,April 1992
Hoops,Jaleco,June 1989
Hudson Hawk,Sony Imagesoft,February 1992
"Hunt for Red October, The",Hi-Tech,January 1991
Hydlide,FCI,June 1989
Ice Climber,Nintendo,October 1985
Ice Hockey,Nintendo,March 1988
Ikari Warriors,SNK,May 1987
Ikari Warriors II: Victory Road,SNK,April 1988
Ikari Warriors III: The Rescue,SNK,February 1991
Image Fight,Irem,July 1990
"Immortal, The",Electronic Arts,November 1990
"Incredible Crash Dummies, The",LJN,August 1994
Indiana Jones and the Last Crusade,Taito Software,March 1991
Indiana Jones and the Last Crusade,UBI Soft,December 1993
Indiana Jones and the Temple of Doom,Mindscape,December 1988
Infiltrator,Mindscape,January 1990
Iron Tank,SNK,July 1988
IronSword: Wizards and Warriors II,Acclaim,December 1989
Isolated Warrior,NTVIC,February 1991
"Ivan ""Iron Man"" Stewart's Super Off-Road",Tradewest,April 1990
Jack Nicklaus' Major Championship Golf,Konami,March 1990
Jackal,Konami,September 1988
Jackie Chan's Action Kung Fu,Hudson Soft,December 1990
James Bond Jr.,THQ,November 1992
Jaws,LJN,November 1987
Jeopardy!,Gametek,September 1988
Jeopardy! 25th Silver Anniversary Edition,Gametek,June 1990
Jeopardy! Jr. Edition,Gametek,October 1989
"Jetsons: Cogswell's Caper, The",Taito Software,December 1992
Jimmy Connors Pro Tennis Tour,UBI Soft,November 1993
Joe & Mac,Data East,December 1992
John Elway's Quarterback,Tradewest,March 1989
Jordan vs. Bird: One-on-One,Milton Bradley,August 1989
Journey to Silius,Sunsoft,September 1990
Joust,Hal America,October 1988
"Jungle Book, The",Virgin Interactive,August 1994
Jurassic Park,Ocean,June 1993
Kabuki: Quantum Fighter,Hal America,January 1991
Karate Champ,Data East,November 1986
Karate Kid,LJN,November 1987
Karnov,Data East,January 1988
Kick Master,Taito Software,January 1992
Kickle Cubicle,Irem,September 1990
Kid Icarus,Nintendo,July 1987
Kid Klown in Night Mayor World,Kemco,April 1993
Kid Kool,Vic Tokai,March 1990
Kid Niki,Data East,November 1987
King's Knight,Square Soft,September 1989
Kings of the Beach,Ultra Soft,January 1990
King's Quest V,Konami,June 1992
Kirby's Adventure,Nintendo,May 1993
Kiwi Kraze,Taito Software,March 1991
KlashBall,Sofel,July 1991
Knight Rider,Acclaim,December 1989
"Krion Conquest, The",Vic Tokai,January 1991
Krusty's Funhouse,Acclaim,September 1992
Kung Fu,Nintendo,October 1985
Kung Fu Heroes,Culture Brain,March 1989
Laser Invasion,Ultra Soft,June 1991
Last Action Hero,Sony Imagesoft,October 1993
"Last Ninja, The",Jaleco,February 1991
"Last Starfighter, The",Mindscape,June 1990
Lee Trevino's Fighting Golf,SNK,September 1988
"Legacy of the Wizard, The",Broderbund,April 1989
Legend of Ghost Lion,Kemco,October 1992
"Legend of Kage, The",Taito Software,August 1987
