title,release,publisher
10-Yard Fight,1985,Nintendo
1942,1986,Capcom
1943: The Battle of Midway,1988,Capcom
3-D WorldRunner,1987,Acclaim Entertainment
720°,1989,Mindscape
8 Eyes,1990,Taxan
Abadox,1990,Milton Bradley Company
The Addams Family,1992,Ocean Software
The Addams Family: Pugsley's Scavenger Hunt,1993,Ocean Software
Advanced Dungeons & Dragons: DragonStrike,1992,FCI
Advanced Dungeons & Dragons: Heroes of the Lance,1991,FCI
Advanced Dungeons & Dragons: Hillsfar,1993,FCI
Advanced Dungeons & Dragons: Pool of Radiance,1992,FCI
Adventure Island,1988,Hudson Soft
Adventure Island II,1991,Hudson Soft (NA/EU)Mattel (AU)
Adventure Island III,1992,Hudson Soft
Adventures in the Magic Kingdom,1990,Capcom
The Adventures of Bayou Billy,1989,Konami
Adventures of Dino Riki,1989,Hudson Soft
The Adventures of Gilligan's Island,1990,Bandai
Adventures of Lolo,1989,HAL Laboratory
Adventures of Lolo 2,1990,HAL Laboratory
Adventures of Lolo 3,1991,HAL Laboratory
The Adventures of Rad Gravity,1990,Activision (NA)Mattel (AUS)
The Adventures of Rocky and Bullwinkle and Friends,1992,THQ
The Adventures of Tom Sawyer,1989,SETA
Air Fortress,1989,HAL Laboratory
Airwolf,1989,Acclaim Entertainment
Al Unser Jr.'s Turbo Racing,1990,Data East
Aladdin,1994,Virgin Interactive (EU)
Alfred Chicken,1994,Mindscape
Alien3,1993,LJN
All-Pro Basketball,1989,Vic Tokai
Alpha Mission,1987,SNK
Amagon,1989,Sammy Studios
American Gladiators,1991,GameTek
Anticipation,1988,Nintendo
Arch Rivals: A Basket Brawl!,1990,Acclaim Entertainment
Archon,1989,Activision
Arkanoid,1987,Taito
Arkista's Ring,1990,American Sammy
Asterix,1993,Infogrames (EU)
Astyanax,1990,Jaleco
Athena,1987,SNK
Athletic World,1987,Bandai (NA)Nintendo (EU)
Attack of the Killer Tomatoes,1992,THQ
Aussie Rules Footy,1991,Laser Beam Entertainment (AU)
Back to the Future,1989,LJN
Back to the Future Part II & III,1990,LJN
Bad Dudes,1990,Data East (NA)Ocean Software (EU)
Bad News Baseball,1990,Tecmo
Bad Street Brawler,1989,Mattel
Balloon Fight,1986,Nintendo
Banana Prince,1992,Takara (EU)
Bandai Golf: Challenge Pebble Beach,1989,Bandai
Bandit Kings of Ancient China,1990,Koei
Barbie,1991,Hi-Tech Expressions
The Bard's Tale,1991,FCI
Barker Bill's Trick Shooting,1990,Nintendo
Base Wars,1991,Ultra Games
Baseball,1985,Nintendo
Baseball Simulator 1.000,1990,Culture Brain
Baseball Stars,1989,SNK
Baseball Stars 2,1992,Romstar
Bases Loaded,1988,Jaleco
Bases Loaded II: Second Season,1990,Jaleco
Bases Loaded 3,1991,Jaleco
Bases Loaded 4,1993,Jaleco
Batman,1990,Sunsoft
Batman Returns,1993,Konami
Batman: Return of the Joker,1991,Sunsoft
Battle Chess,1990,Data East
The Battle of Olympus,1989,Broderbund (NA)Imagineering (EU)
Battle Tank,1990,Absolute Entertainment
Battleship,1993,Mindscape
Battletoads,1991,Tradewest
Battletoads & Double Dragon,1993,Tradewest
Beauty and the Beast,1994,Hudson Soft (EU)
Beetlejuice,1991,LJN
Best of the Best: Championship Karate,1992,Electro Brain (NA)Loricels (EU)
Bigfoot,1990,Acclaim Entertainment
Bill & Ted's Excellent Video Game Adventure,1991,LJN
Bill Elliott's NASCAR Challenge,1991,Konami
Bionic Commando,1988,Capcom
The Black Bass,1989,Hot-B
Blades of Steel,1988,Konami (NA/EU)Mattel (AU)
Blaster Master,1988,Sunsoft
The Blue Marlin,1992,Hot-B
The Blues Brothers,1992,Titus
Bo Jackson Baseball,1991,Data East
Bomberman,1987,Hudson Soft
Bomberman II,1992,Hudson Soft
Bonk's Adventure,1994,Hudson Soft
Boulder Dash,1990,JVC
A Boy and His Blob: Trouble on Blobolonia,1990,Absolute Entertainment
Bram Stoker's Dracula,1993,Sony Imagesoft
Break Time: The National Pool Tour,1993,FCI
BreakThru,1987,Data East
Bubble Bobble,1988,Taito (NA/EU)Mattel (AUS)
Bubble Bobble Part 2,1993,Taito
Bucky O'Hare,1992,Konami
The Bugs Bunny Birthday Blowout,1990,Kemco
The Bugs Bunny Crazy Castle,1989,Seika
Bump 'n' Jump,1988,Vic Tokai
Burai Fighter,1990,Taxan
BurgerTime,1987,Data East
Cabal,1990,Milton Bradley Company
Caesars Palace,1992,Virgin Interactive
California Games,1989,Milton Bradley Company
Captain America and The Avengers,1991,Data East
Captain Planet,1991,Mindscape
Captain Skyhawk,1990,Milton Bradley Company (NA)Rare (EU)
Casino Kid,1989,SOFEL
Casino Kid 2,1993,SOFEL
Castelian,1991,Triffix (NA)Storm (EU)
Castle of Dragon,1990,SETA
Castlequest,1989,ASCII
Castlevania,1987,Konami
Castlevania II: Simon's Quest,1988,Konami
Castlevania III: Dracula's Curse,1990,Konami
Caveman Games,1990,Data East
Championship Bowling,1989,Romstar
Championship Pool,1993,Mindscape
Championship Rally,1991,Hal Laboratory (AU)
Chessmaster,1990,Hi-Tech Expressions
Chip 'n Dale: Rescue Rangers,1990,Capcom
