Store Number	Store Name	Address	City	State	Zip	Phone	Wireless	Latitude	Longitude
103704	Grand & Reems, Surprise	18885 N. Reems Road - #105	Surprise	AZ	85374	623-584-5015	wireless	33.646084	-112.389903
98887	Safeway-Sun City West #1520	14505 W Grand Ave	Surprise	AZ	85374	623-975-4022		33.655002	-112.371358
97730	Safeway-Surprise #1997	17049 W Bell Rd	Surprise	AZ	85374	623-518-1059		33.638805	-112.42561
97179	Safeway-Surprise #2699	13828 W Waddell Rd	Surprise	AZ	85374	623-476-1810		33.609216	-112.357999
23371	Albertsons-Tempe AZ #940	750 E Guadalupe Rd	Tempe	AZ	85283	480-820-8166		33.364742	-111.92974
78041	Aramark ASU Bookstore	525 E. Orange St.	Tempe	AZ	85287	480-727-0830		33.418367	-111.931272
78040	Aramark ASU Business College	College of Business 1st Floor	Tempe	AZ	85287	480-727-0019		33.4148	-111.9088
78022	Aramark ASU Memorial Union	2090 S Normal	Tempe	AZ	85287	480-727-7480		33.416721	-111.933296
94352	Aramark ASU Palo Verde East	340 E University Dr	Tempe	AZ	85287	480-727-0462		33.421975	-111.934342
1417	Arizona Mills	5000 Arizona Mills Circle - Suite #391	Tempe	AZ	85282	(480) 897-4804	wireless	33.379419	-111.965053
